Title,Company,Location,Qualifications,Url
Data Scientist - Python,V R Della IT Services Private Limited,"Tiruchchirappalli, Tamil Nadu","['SQL', 'NoSQL', 'jQuery', 'OOP', 'Machine learning']",https://www.simplyhired.co.in/job/lAvGlPyJ9a39gTEkisWynZWSHfsy3fb2AnbbvpchgExnbY8C50HPgw?q=data+scientist
Senior Data Scientist,Boston Consulting Group,"Bengaluru, Karnataka","['TensorFlow', 'Communication skills', 'Agile', 'SQL', 'Python']",https://www.simplyhired.co.in/job/iscxBq3PUPXVbIwsPY6tU-OUjVJQ8e6L_3Eo70m0c6W9hnV5MWnodw?q=data+scientist
Supply Chain Network Data & Analytics Specialist,Colgate-Palmolive,"Mumbai, Maharashtra","['Manufacturing', 'Supply chain', 'SQL', 'Spring', 'R', ""Bachelor's degree"", ""Master's degree"", 'M.B.A.']",https://www.simplyhired.co.in/job/9LhEc7XC6XiS8ROC2gSQiMuQub04_62xsI5t2noD8yqdDZinQINWLg?q=data+scientist
Data Scientist 1,PayPal,"Chennai, Tamil Nadu","['Software deployment', 'Analysis skills', 'SQL', 'Jira', 'E-Commerce', ""Master's degree""]",https://www.simplyhired.co.in/job/6OVYAuYcweA1jPu5DGI61hjtIVMYn6KyIM0GSuGfBGqHDfjTM1bfng?q=data+scientist
Faculty- Artificial Intelligence,United Group of Initiatives,"Ernakulam, Kerala","['.NET', 'Teaching experience', 'Communication skills', 'R', 'Machine learning', ""Bachelor's degree"", ""Master's degree""]",https://www.simplyhired.co.in/job/1Q5HTnkHVLXWSO5GoFQn2WpldvCpTjgc2NxrfMHR9escMfnSCgp7Kg?q=data+scientist
Audit Reporting and Analytics Analyst,DTCC,"Chennai, Tamil Nadu","['Power BI', 'SQL', 'Tableau', 'SharePoint', 'Informatica']",https://www.simplyhired.co.in/job/OHVLXTK5OsdVclVSNxMgOHuND6QtMXRkBtyqTDzGvh0qbwbjQx7FRQ?q=data+scientist
Data Scientist - Python,V R Della IT Services Private Limited,"Tiruchchirappalli, Tamil Nadu","['SQL', 'NoSQL', 'jQuery', 'OOP', 'Machine learning']",https://www.simplyhired.co.in/job/lAvGlPyJ9a39gTEkisWynZWSHfsy3fb2AnbbvpchgExnbY8C50HPgw?q=data+scientist
Data Scientist,ABB,"Bengaluru, Karnataka","['Power BI', 'Data modeling', 'Azure', 'VBA', 'Microsoft Excel', 'Doctoral degree', ""Master's degree""]",https://www.simplyhired.co.in/job/LphbNNvdjLa5rROt1KgLcNTOo0Wrw7saqDNwcrI_vzrOdTtlQBE4LQ?q=data+scientist
Data Scientist,Lenskart,"Gurgaon District, Haryana","['Power BI', 'SQL', 'Microsoft Excel', 'Microsoft Powerpoint', 'Supply chain analytics', ""Bachelor's degree"", ""Master's degree""]",https://www.simplyhired.co.in/job/LiKxOYtrNUot0OHqhZPHd2a6x6b7PvFTwXHrejgTq2oqBM763sjc0A?q=data+scientist
Data Scientist,Growexx,Remote,"['Analysis skills', 'SQL', 'Predictive analytics', 'Tableau', 'Git', ""Bachelor's degree""]",https://www.simplyhired.co.in/job/SFbzRL4CpB66opte-Cz3m6kEdjq-I1JyDRh6VFxSfS0abPHbX3kLoA?q=data+scientist
