,Company,Qualifications,Url,City,State,Title 1,Title 2
1028,brained,"communication skills, software architecture, r, machine learning, python",https://www.simplyhired.co.in/job/5VWfoqtKzT6I4M9Qs-goqJ1nVYS0SQhWIunv3Di3uyD9fByR3J5COg?q=data+scientist,madurai,tamil nadu,python ml&ai,none
1029,string bio,"sql, predictive analytics, tableau, presentation skills, c++, b.sc, bachelors degree",https://www.simplyhired.co.in/job/VBu5rQiNOPDoXirxP6jS4acMB9oxVpGt2uG7yMxfDqpwac0Q6syd7w?q=data+scientist,bengaluru,karnataka,principal data scientist (remote),none
1030,michelin,"image processing, azure, sql, istqb certification, test automation, bachelors degree, masters degree",https://www.simplyhired.co.in/job/VIVzRvp1K4xRq8o2wSqpjh8BSQ_Vtzpi2oahFN_gZTve39wVe43gDA?q=data+scientist,bengaluru,karnataka,camera algorithm development (deep learning for ad),engineer
1031,new horizon pre-university college (nhpuc),"quality assurance, data science",https://www.simplyhired.co.in/job/c-EsrscO800S4VWZflvb8vEmNFdQDSK8le-jRw5mCiYVRQjdf32ZXg?q=data+scientist,none,none,principal data scientist,none
1032,a2it,"python, data science, software development",https://www.simplyhired.co.in/job/YjmYeo2teudSfOOCw8qH5xumeI7nKH0ir62zeur80acccr_1lTZDkA?q=data+scientist,bengaluru,karnataka,principal data scientist,none
1033,redbox hr,"analytics, r, machine learning, python, sas",https://www.simplyhired.co.in/job/M4xtDPL6bWKdQMjkPBDJJF9aXzElZpuNdBvA5Lw5Rtx9r1qaR4DRhw?q=data+scientist,serilingampally,hyderabad,senior data scientist,none
1034,placements adda pvt ltd,"machine learning, python, teaching experience, numpy, pandas, bachelors degree",https://www.simplyhired.co.in/job/sG3zE0-YiIAKMg9jAp5z4NtxPoIKpUW6--gsJ-KO1Cchp6saOzpMBA?q=data+scientist,chennai,tamil nadu,marketing data science manager,none
1035,bosch group,"azure, nosql, tensorflow, unix, devops, bachelors degree, masters degree",https://www.simplyhired.co.in/job/P6zEOuOgFy8C5zyLBK9apPaLvoS4wi1WG4nkv5GH4hU3PxHgST7HHA?q=data+scientist,bengaluru,karnataka,senior solutions architect : data & ai,none
1036,gray matrix,"agile, machine learning, sentiment analytics, natural language processing, ai",https://www.simplyhired.co.in/job/XSsiPD-ZuVm5EBkHI38int7B3iXlBUD6ZHH570aG9bhZ2ip_-v1v4w?q=data+scientist,bengaluru,karnataka,computer vision engineer(7-14lpa),none
1037,bosch group,"hadoop, python, big data, tableau, powertrain, bachelors degree",https://www.simplyhired.co.in/job/ITE5-jzh28K0F77O3cSuT8K3H61X0Mp4JPpIirGTesUgXMqaQ5JdEg?q=data+scientist,bengaluru,karnataka,data scientist,none
1038,eightfold.ai,"tensorflow, c++, scala, apis, hadoop, b.sc, bachelors degree, doctoral degree, masters degree",https://www.simplyhired.co.in/job/tvMd_2YrcOGZ4ulzSCAmMvvuNuEnJXBdkxvwgJIicVnnP6xn1Hpr0Q?q=data+scientist,mumbai,maharashtra,electrical engineer/ml engineer for autonomous car intern,none
1039,nutanix,"user research, data visualization, quantitative research, information architecture, communication skills, doctoral degree, bachelors degree, masters degree",https://www.simplyhired.co.in/job/EfirQpPTg752PtN0m1C72s8kzjvR-mvdZem9HwEixNZqbF5GWyB1ew?q=data+scientist,bengaluru,karnataka,data scientist,lead
1040,recruitment smart,"relational databases, sql, machine learning, python, statistics, doctoral degree, masters degree",https://www.simplyhired.co.in/job/nVzyAtJGRQY6oIvquOt66Z8DH4K659WOTJoxo-BBgg-5LpUi2nK7Lg?q=data+scientist,pune,maharashtra,machine learning engineer,none
1041,brainlabs digital,"statistical analysis, power bi, azure, predictive analytics, tableau, m.c.a., doctoral degree, bachelors degree, masters degree, m.b.a.",https://www.simplyhired.co.in/job/H3QBT0WxMSL_etGZYJkfByMJRZxC-wFCFCZ39HufI9G2DIuSGfBW3A?q=data+scientist,chennai,tamil nadu,lead software engineer,machine learning
1042,saaki argus & averil consulting,"tensorflow, image processing, computer vision, azure, machine learning",https://www.simplyhired.co.in/job/UI9nS1owU1uhMPB6hCmH3OtdxmhMRZgwtoHOkE1F-clV7oXbrmXeaw?q=data+scientist,none,none,engineering leader,machine learning
1043,testbook,"communication skills, data science",https://www.simplyhired.co.in/job/3ouO9rUdewO3M-Tdr2qV5n2aIsguM_qkZ_D-dB_2gfCeBMnZdJsrkw?q=data+scientist,hyderabad,telangana,nlp analyst,none
1044,spm hr solutions,"sql, numpy, pandas, natural language processing, cleaning, bachelors degree",https://www.simplyhired.co.in/job/nJ5XrDSwpoYBddhcekgzrmD6g0axjWRxQhWY3ZWOyPqshZLz8Gqbtw?q=data+scientist,none,none,big data analyst,none
1045,a2z jobs consultancy,"data modeling, spark, tensorflow, hadoop, r, bachelors degree, masters degree",https://www.simplyhired.co.in/job/7twB-K3rcW1LjwpPdpyLWSbWMN1qyst9YQEW-dSVkZe5OE6dQOaaXw?q=data+scientist,bengaluru,karnataka,applied ml engineer,none
1046,mercedes-benz research and development india private limited,"image processing, confluence, jira, adas, pytorch, masters degree",https://www.simplyhired.co.in/job/Ip_W8SwQ8te832TN5yqAi-SMqOGJX2rGaNgYmoCQJZ58E4hjH2G_yw?q=data+scientist,hyderabad,telangana,data science analyst,none
1047,tiket.com,"software deployment, tableau, natural language processing, communication skills, machine learning, bachelors degree",https://www.simplyhired.co.in/job/nKdWa32Pyzs3fFFa74cUmYDbOc4fi2upCGpl4-xRSKiV61XPAl2K5Q?q=data+scientist,hyderabad,telangana,nlp engineer,none
1048,tekion,"git, data visualization, natural language processing, analytics, machine learning, doctoral degree, masters degree",https://www.simplyhired.co.in/job/YOg6KBF497RLYmRuzUnmJG1grM6HssvVNwfKB5C6T0-BBjXuq7IK6g?q=data+scientist,pune,maharashtra,machine learning developer,none
1049,usp (u.s. pharmacopeial convention),"power bi, cognos, sql, predictive analytics, communication skills, bachelors degree, masters degree",https://www.simplyhired.co.in/job/UEk-w65uHwPA7r1FpIlj77DMrWPbKPFjeLCVIFU40Og18hHlO3zseQ?q=data+scientist,gurgaon district,haryana,management trainee,ml engineer/data scientist
1050,inspirion digital solutions,"image processing, azure, spark, natural language processing, deep learning, doctoral degree, masters degree",https://www.simplyhired.co.in/job/DeggvKkLjOyC8v0D6-x_6rn2qOjxb9U-CDQz2s52qvmL0vVnRF1bnQ?q=data+scientist,bengaluru,karnataka,ai / ml engineer,none
1051,paypal,"project management, data modeling, sql, analytics, machine learning, doctoral degree, masters degree",https://www.simplyhired.co.in/job/yR2N-4nFT-XqxKH6ZL2y74-qMYVHkF5vj_uXyRc8Lk52z3ghO00rQQ?q=data+scientist,new delhi,delhi,data scientist,none
1052,databricks,"pre-sales, azure, spark, sales, presentation skills, bachelors degree",https://www.simplyhired.co.in/job/6APSrEe1JRASJA0snFr2I6adfWsYd1FnZ5bdlqxa-EJcbe20L0H9Ng?q=data+scientist,bengaluru,karnataka,senior machine learning engineer,none
1053,zigup,"image processing, pytorch, numpy, scipy, git",https://www.simplyhired.co.in/job/g9TUXpSek0VmUHCS7TQIlIPI-B0VfoqiELM3ix_w0l7UPOWkTmqgiQ?q=data+scientist,model town,ludhiana,deep learning engineer,none
1054,eastvantage,"power bi, sql, sas, tableau, database design",https://www.simplyhired.co.in/job/MbaMH-sbv3dA05x-1ryiLDjGkvcvfFlECbBUNODhA_6y1WzRAb4KMg?q=data+scientist,pune,maharashtra,data engineer – smart building analytics (6,9 years)
1055,prexinno,"mechanical knowledge, sensors, leadership, communication skills, bachelors degree",https://www.simplyhired.co.in/job/JTnbr-XFc3J_42DDnFKGyFXQSs72GEUcDSmd-iUIvDbt8MVboO6wHw?q=data+scientist,bengaluru,karnataka,data scientist,none
1056,harman international,"deep learning, communication skills, agile, machine learning, python",https://www.simplyhired.co.in/job/PaWxrXAOb61ishYWvoJ5rcW5rxjslXQanTnklDFaxsYbomtyeWxIBQ?q=data+scientist,salem,tamil nadu,ai/ml trainer,none
1057,dentaldost,"tensorflow, image processing, computer vision, agile, apis",https://www.simplyhired.co.in/job/eN7Mrw22HLZSyzj-sGFawxwuAbn963IyHyp5Du7AdTvGEoMCTfkSxA?q=data+scientist,bengaluru,karnataka,ai researcher,modelling
1058,freshworks,"deep learning, tensorflow, it service management, apis, machine learning",https://www.simplyhired.co.in/job/sLD7tHUbdDE4DYPC9XJa_RwtJ0_Qv5o6GSSd7RMj9_BzSeFd8wZhuQ?q=data+scientist,pune,maharashtra,python data science trainer,none
1059,eightfold.ai,"tensorflow, c++, scala, apis, hadoop, b.sc, bachelors degree, doctoral degree, masters degree",https://www.simplyhired.co.in/job/tvMd_2YrcOGZ4ulzSCAmMvvuNuEnJXBdkxvwgJIicVnnP6xn1Hpr0Q?q=data+scientist,delhi,delhi,senior data scientist,experimentation
1060,kore.ai,"perl, node.js, natural language processing, c++, data analytics, m.c.a., bachelors degree, masters degree",https://www.simplyhired.co.in/job/Ibl6PgKaNfOIKtA5I2ygNp32V8owFWOif8pET-EG_n6UgeyziuJ8Ew?q=data+scientist,bengaluru,karnataka,(india-bangalore) senior data scientist,none
1061,ceresight,"database management, relational databases, data modeling, sql, apache hive, doctoral degree, bachelors degree, masters degree",https://www.simplyhired.co.in/job/IbXjPKqOfPp90ixW1bKyZU9u9tb0BfwnDYVbjUSFPNLvS40Vn2tj5A?q=data+scientist,new delhi,delhi,"specialist, applied data science",none
1062,4crisk.ai software,"deep learning, tensorflow, rest, apis, microservices",https://www.simplyhired.co.in/job/4ciZFxoEuurimPhBs6US8w-TmZPOFMFpad1Y5CwWosyaURfQwpzwxw?q=data+scientist,chennai,tamil nadu,lead software engineer,machine learning
1063,pepsico,"azure, sql, devops, communication skills, agile, b.sc, bachelors degree",https://www.simplyhired.co.in/job/S_CCyrq1JlTIzzhMHK9JHKkZozkpVZIQk3JtJ1EpphYe6dnxNfEyhA?q=data+scientist,none,none,engineering leader,machine learning
1064,mashinga,natural language processing,https://www.simplyhired.co.in/job/5PhNHpSMLKd2asdmFPuwZjzuOP20IuRe8DMxZX1S4shohp6LiD8Awg?q=data+scientist,hyderabad,telangana,nlp analyst,none
1065,cybage,"communication skills, machine learning, python, java, natural language processing",https://www.simplyhired.co.in/job/rkIuLFbiaIpSieegDP4JTlslXA7oCe6Ne5omUzUiXuyL7_YXSaIrBQ?q=data+scientist,none,none,big data analyst,none
1066,genpact,"microsoft access, statistical analysis, power bi, azure, vba",https://www.simplyhired.co.in/job/eVmfW_yFzJmy-dImcp09wEV9HGz0VQUzbIex5dex7qowkmEE1qxiXw?q=data+scientist,bengaluru,karnataka,applied ml engineer,none
1067,xploria,"react, azure, sql, test automation, nosql",https://www.simplyhired.co.in/job/myxQ8kGcHFjiUHJjZ7ycg8v_yrANdQdden_CA_gbZ29mYQWNRKaLkg?q=data+scientist,hyderabad,telangana,data science analyst,none
